Date,Open,High,Low,Close,Adj Close,Volume
2023-08-17,2762.000000,2768.500000,2698.500000,2716.500000,2711.473145,1793100
2023-08-18,2713.500000,2739.500000,2705.000000,2732.000000,2726.944580,1778100
2023-08-21,2759.000000,2824.500000,2748.500000,2802.500000,2797.313965,2579800
2023-08-22,2811.500000,2847.500000,2801.500000,2810.000000,2804.800049,2592600
2023-08-23,2811.000000,2843.000000,2780.500000,2800.000000,2794.818604,2119500
2023-08-24,2800.000000,2840.000000,2787.500000,2820.000000,2814.781738,2916300
2023-08-25,2773.500000,2810.000000,2764.500000,2795.500000,2790.326904,1809200
2023-08-28,2840.500000,2840.500000,2808.500000,2824.500000,2819.273193,2135300
2023-08-29,2824.500000,2863.000000,2816.000000,2830.000000,2824.763184,1750100
2023-08-30,2830.000000,2861.500000,2830.000000,2849.500000,2844.227051,2134000
2023-08-31,2882.000000,2957.000000,2864.500000,2957.000000,2951.528076,7100500
2023-09-01,2950.000000,2975.500000,2929.500000,2958.500000,2953.025391,2330300
2023-09-04,2982.000000,2982.000000,2948.000000,2970.500000,2965.003174,1703900
2023-09-05,2973.000000,2988.500000,2932.500000,2952.000000,2946.537354,1684100
2023-09-06,2970.000000,2979.000000,2935.000000,2955.500000,2950.031006,1699000
2023-09-07,2967.000000,2985.000000,2950.000000,2976.000000,2970.492920,1737600
2023-09-08,2976.000000,2993.500000,2896.000000,2909.000000,2903.616943,2515900
2023-09-11,2948.500000,2956.000000,2883.500000,2896.500000,2891.140137,1290400
2023-09-12,2896.500000,2931.000000,2890.000000,2913.500000,2908.108643,1123600
2023-09-13,2878.000000,2901.500000,2779.000000,2795.500000,2790.326904,2070000
2023-09-14,2850.000000,2915.000000,2842.500000,2903.000000,2897.627930,1998300
2023-09-15,2978.500000,2997.500000,2936.500000,2959.000000,2953.524414,3536000
2023-09-19,2955.000000,2964.000000,2897.500000,2916.000000,2910.604004,2052200
2023-09-20,2879.500000,2907.500000,2790.000000,2795.000000,2789.827881,2054400
2023-09-21,2783.000000,2785.500000,2674.000000,2694.000000,2689.014893,2872300
2023-09-22,2677.500000,2732.500000,2664.000000,2694.000000,2689.014893,1998400
2023-09-25,2708.000000,2744.500000,2706.500000,2732.500000,2727.443604,1271500
2023-09-26,2735.500000,2736.500000,2648.000000,2653.000000,2648.090576,1781700
2023-09-27,2607.500000,2646.500000,2607.500000,2645.000000,2640.105469,1895400
2023-09-28,2648.500000,2679.000000,2591.000000,2621.500000,2616.648926,2073500
2023-09-29,2659.000000,2682.500000,2651.000000,2673.500000,2668.552734,3046500
2023-10-02,2681.000000,2732.000000,2671.500000,2683.500000,2678.534180,2219700
2023-10-03,2661.000000,2674.500000,2591.500000,2608.000000,2603.173828,2088500
2023-10-04,2574.500000,2627.500000,2565.500000,2565.500000,2560.752686,1862400
2023-10-05,2595.000000,2619.500000,2579.500000,2618.500000,2613.654541,1636300
2023-10-06,2612.000000,2642.500000,2591.500000,2614.500000,2609.661865,1343800
2023-10-10,2625.000000,2679.000000,2625.000000,2666.000000,2661.066650,1320000
2023-10-11,2666.000000,2671.000000,2619.500000,2651.500000,2646.593506,1444000
2023-10-12,2651.500000,2712.000000,2645.500000,2706.000000,2700.992676,1879300
2023-10-13,2680.000000,2704.000000,2627.000000,2634.000000,2629.125732,1903300
2023-10-16,2564.000000,2600.000000,2544.000000,2553.500000,2548.774902,1115200
2023-10-17,2604.500000,2615.500000,2561.500000,2578.000000,2573.229492,1533000
2023-10-18,2582.500000,2585.500000,2535.000000,2564.500000,2559.754395,1040500
2023-10-19,2528.000000,2566.500000,2500.000000,2520.000000,2515.336670,1166700
2023-10-20,2504.000000,2514.500000,2481.000000,2500.000000,2495.373779,930200
2023-10-23,2489.000000,2499.000000,2472.000000,2485.000000,2480.401611,957900
2023-10-24,2513.000000,2553.000000,2471.000000,2547.000000,2542.286865,1536600
2023-10-25,2566.000000,2575.000000,2524.500000,2555.500000,2550.770996,1243200
2023-10-26,2492.000000,2519.000000,2449.500000,2468.000000,2463.433105,1921400
2023-10-27,2482.000000,2559.500000,2469.500000,2547.500000,2542.785889,2014000
2023-10-30,2563.000000,2652.000000,2560.500000,2638.000000,2633.118408,3378100
2023-10-31,2609.500000,2757.500000,2597.500000,2745.500000,2740.419434,3758700
2023-11-01,2828.000000,2859.500000,2803.000000,2815.000000,2809.790771,2733600
2023-11-02,2865.000000,2916.500000,2851.000000,2857.000000,2851.713135,2172100
2023-11-06,2920.000000,2924.000000,2795.500000,2833.500000,2828.256592,3663600
2023-11-07,2850.000000,2897.500000,2843.500000,2872.500000,2867.184570,2014000
2023-11-08,2913.000000,2943.500000,2877.500000,2891.500000,2886.149414,2099400
2023-11-09,2938.000000,2948.500000,2876.500000,2921.000000,2915.594727,1884100
2023-11-10,3115.000000,3156.000000,2996.000000,3030.000000,3024.393066,5170300
2023-11-13,2967.000000,3042.000000,2900.000000,2991.500000,2985.964355,3535700
2023-11-14,2973.500000,2996.000000,2929.500000,2958.000000,2952.526367,2054600
2023-11-15,3001.000000,3042.000000,2993.500000,3035.000000,3029.383789,1894500
2023-11-16,3000.000000,3058.000000,2990.000000,3009.000000,3003.431885,1444100
2023-11-17,3009.000000,3026.000000,2973.000000,3022.000000,3016.407715,1632800
2023-11-20,3038.000000,3058.000000,3025.000000,3038.000000,3032.378174,1332000
2023-11-21,3038.000000,3080.000000,2996.500000,3065.000000,3059.328369,1509900
2023-11-22,3084.000000,3130.000000,3065.000000,3130.000000,3124.208008,1534500
2023-11-24,3150.000000,3170.000000,3104.000000,3105.000000,3099.254150,1674600
2023-11-27,3134.000000,3186.000000,3129.000000,3156.000000,3150.159912,1688300
2023-11-28,3150.000000,3182.000000,3131.000000,3162.000000,3156.148682,1423100
2023-11-29,3180.000000,3227.000000,3168.000000,3177.000000,3171.121094,1390900
2023-11-30,3240.000000,3248.000000,3180.000000,3198.000000,3192.082031,3996700
2023-12-01,3128.000000,3211.000000,3121.000000,3171.000000,3165.132080,1570700
2023-12-04,3171.000000,3213.000000,3140.000000,3149.000000,3143.172852,1627800
2023-12-05,3149.000000,3177.000000,3126.000000,3155.000000,3149.161621,1822800
2023-12-06,3174.000000,3237.000000,3171.000000,3230.000000,3224.022949,1823400
2023-12-07,3240.000000,3278.000000,3221.000000,3234.000000,3228.015625,2268100
2023-12-08,3234.000000,3278.000000,3162.000000,3234.000000,3228.015625,2958100
2023-12-11,3100.000000,3144.000000,3044.000000,3057.000000,3051.343018,4245600
2023-12-12,3063.000000,3086.000000,3008.000000,3034.000000,3028.385742,2757900
2023-12-13,3034.000000,3050.000000,2946.000000,2999.000000,2993.450439,3384100
2023-12-14,3012.000000,3021.000000,2933.000000,2944.500000,2939.051270,2480400
2023-12-15,2944.500000,2978.500000,2925.000000,2960.500000,2955.021729,2556100
2023-12-18,2863.000000,2880.500000,2830.500000,2864.500000,2859.199219,2967300
2023-12-19,2880.000000,2955.500000,2871.500000,2943.000000,2937.553955,2154300
2023-12-20,2976.000000,3009.000000,2956.500000,2964.500000,2959.014160,1482400
2023-12-21,2918.500000,2972.000000,2910.000000,2962.500000,2957.017822,1282700
2023-12-22,2977.000000,3024.000000,2597.500000,2609.000000,2604.172119,7994100
