Date,positive,negative,naver_trend
2021-02-06,0,0,13.52204
2021-02-07,0,0,11.25764
2021-02-08,0,0,21.08359
2021-02-09,10.63829,0,36.7539
2021-02-10,0,0,20.20558
2021-02-11,0,0,25.75441
2021-02-12,0,0,41.97518
2021-02-13,0,0,30.35332
2021-02-14,0,0,24.82391
2021-02-15,0,0,29.21249
2021-02-16,0,0,26.57812
2021-02-17,0,0,37.18895
2021-02-18,0,0,34.42586
2021-02-19,0,0,24.37592
2021-02-20,0,0,20.78768
2021-02-21,0,0,17.91422
2021-02-22,0,0,23.92397
2021-02-23,0,0,75.32745
2021-02-24,0,0,62.59748
2021-02-25,0,0,35.32364
2021-02-26,0,0,38.96149
2021-02-27,0,0,25.18849
2021-02-28,0,0,18.71959
2021-03-01,0,0,16.34517
2021-03-02,0,0,23.31742
2021-03-03,0,0,21.93067
2021-03-04,0,0,27.95661
2021-03-05,0,0,34.76347
2021-03-06,0,0,52.63059
2021-03-07,0,0,23.23976
2021-03-08,0,0,32.21863
2021-03-09,10.63829,0,51.2895
2021-03-10,23.40425,0,64.20355
2021-03-11,0,0,36.59678
2021-03-12,0,0,30.17067
2021-03-13,0,0,21.51072
2021-03-14,0,0,15.25216
2021-03-15,0,0,22.08707
2021-03-16,0,0,24.89618
2021-03-17,0,0,23.16714
2021-03-18,0,0,21.89867
2021-03-19,0,0,23.81072
2021-03-20,0,0,17.14731
2021-03-21,0,0,13.77192
2021-03-22,0,0,18.17884
2021-03-23,0,0,21.99071
2021-03-24,0,0,22.5045
2021-03-25,0,0,24.30257
2021-03-26,0,0,18.40967
2021-03-27,0,0,17.48276
2021-03-28,0,0,10.77873
2021-03-29,0,0,15.64406
2021-03-30,0,0,20.90489
2021-03-31,0,0,19.79606
2021-04-01,0,0,21.28565
2021-04-02,0,0,19.52712
2021-04-03,0,0,14.88758
2021-04-04,0,0,11.12533
2021-04-05,0,0,19.01118
2021-04-06,0,0,20.35803
2021-04-07,0,0,17.23144
2021-04-08,0,0,15.79795
2021-04-09,0,0,14.22063
2021-04-10,0,0,12.28198
2021-04-11,0,0,9.76841
2021-04-12,0,0,13.50227
2021-04-13,0,0,18.61676
2021-04-14,19.14893,0,28.86337
2021-04-15,0,0,19.63175
2021-04-16,0,0,18.54234
2021-04-17,0,0,15.44811
2021-04-18,0,0,11.79659
2021-04-19,0,0,20.9315
2021-04-20,0,0,23.35086
2021-04-21,0,0,17.59494
2021-04-22,0,0,17.03082
2021-04-23,0,0,18.35142
2021-04-24,0,0,13.35162
2021-04-25,0,0,10.03843
2021-04-26,0,0,14.76282
2021-04-27,0,0,27.57082
2021-04-28,0,0,18.57505
2021-04-29,0,0,15.40676
2021-04-30,0,0,15.03715
2021-05-01,0,0,11.87282
2021-05-02,0,0,10.40121
2021-05-03,0,0,11.73763
2021-05-04,0,0,13.89021
2021-05-05,0,0,13.2718
2021-05-06,0,0,14.27348
2021-05-07,0,0,13.83448
2021-05-08,0,0,11.81098
2021-05-09,0,10.63829,10.95023
2021-05-10,0,0,12.9705
2021-05-11,0,0,23.59176
2021-05-12,0,0,18.51861
2021-05-13,0,0,36.71471
2021-05-14,0,0,32.75039
2021-05-15,0,0,26.43142
2021-05-16,0,0,14.03439
2021-05-17,0,0,26.51987
2021-05-18,0,12.76595,25.79036
2021-05-19,0,10.63829,22.91546
2021-05-20,0,0,24.09799
2021-05-21,0,0,16.91505
2021-05-22,0,0,13.08807
2021-05-23,0,0,10.04706
2021-05-24,0,0,13.57453
2021-05-25,0,0,15.11589
2021-05-26,0,0,13.00142
2021-05-27,0,0,12.99855
2021-05-28,0,0,12.73177
2021-05-29,0,0,10.18548
2021-05-30,0,0,7.7823
2021-05-31,0,0,9.79933
2021-06-01,0,0,10.79347
2021-06-02,0,0,12.40422
2021-06-03,0,0,18.11304
2021-06-04,0,42.55319,21.94936
2021-06-05,0,0,12.94461
2021-06-06,0,0,10.59824
2021-06-07,0,0,13.79745
2021-06-08,0,10.63829,15.2705
2021-06-09,0,0,13.54433
2021-06-10,0,0,12.50633
2021-06-11,0,0,13.74711
2021-06-12,0,0,9.48617
2021-06-13,0,0,7.88297
2021-06-14,0,0,11.72648
2021-06-15,0,0,11.9041
2021-06-16,0,0,11.33818
2021-06-17,0,0,10.78592
2021-06-18,0,0,10.9603
2021-06-19,0,0,9.80545
2021-06-20,0,0,8.65958
2021-06-21,0,0,10.27753
2021-06-22,0,0,12.17663
2021-06-23,0,0,13.01185
2021-06-24,12.76595,0,16.855
2021-06-25,0,0,14.85271
2021-06-26,0,0,10.1258
2021-06-27,0,0,8.06526
2021-06-28,0,0,9.84428
2021-06-29,0,0,11.3015
2021-06-30,0,0,10.15816
2021-07-01,0,0,9.69327
2021-07-02,0,0,10.36022
2021-07-03,0,0,8.75199
2021-07-04,0,0,7.17791
2021-07-05,0,0,8.69338
2021-07-06,0,0,10.32966
2021-07-07,0,0,11.87138
2021-07-08,0,0,10.94124
2021-07-09,0,0,9.72131
2021-07-10,0,0,8.69086
